Gellish	English	Version:	9.0	27-okt-16	Dictionary+Knowledge about Roads		Buildings, civil and furniture																				
0	69	54	71	16	44	2	101	1	60	3	45	15	201	65	4	66	7	14	8	67	9	10	12	13	50	68	
Presentation sequence	UID of the languge	Language of the name of the left hand object	UID of language community	Language community for left hand object name	Simultaneous cardinalities	UID of left hand object	Name of left hand object	UID of idea	UID of relation type	Name of relation type	Simultaneous cardinalities	UID of right hand object	Name of right hand object	Partial definition	Full definition	UID of UoM	UoM	Remarks	Status	UID of successor of relation	Date of start of life	Date of latest change	Originator of latest change	Reference	UID of collection of ideas	Name of collection of ideas	
150	910036	English	195444	civil technology		700.141	provincial government	1.990.079	1.146	is a kind of		990005	government	that has civil authority over a province.	is a government that has civil authority over a province.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
149	910036	English	195444	civil technology		700.142	country government	1.990.079	1.146	is a kind of		990005	government	that has civil authority over a country.	is a government that has civil authority over a country.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
148	910036	English	195444	civil technology		990.062	local government	1.990.079	1.146	is a kind of		990005	government	that is the lowest level of government in a particular area.	is a government that is the lowest level of government in a particular area.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
75	910036	English	195444	civil technology		40.033	civil item	1.040.216	1.146	is a kind of		730063	artefact	that is any element that is defined typically for civil engineering applications.	is a artefact that is any element that is defined typically for civil engineering applications.				proposed		38726	9-jan-06	Piet van Merendonk	Piet van Meerendonk	100535	facts about civil items	
434	910036	English	191874	physics		730.014	system	1.046.445	1.146	is a kind of		730044	physical object	that is a composite of physical objects intended to enable the execution of a specified function.	is a physical object that is a composite of physical objects intended to enable the execution of a specified function.				accepted		35067	23-jun-99	harmonisation team	item peers	100535	facts about civil items	
129	910036	English	195444	civil technology		790.728	capacity (frequency)	1.790.895	1.146	is a kind of		550.015	frequency	that an item it able to handle.	is a frequency that an item it able to handle.				proposed		12-jan-06	12-jan-06	Andries van Renssen	Piet van Meerendonk	100.535	facts about civil items	
79	910036	English	195444	civil technology		72.064	start signal	1.074.304	1.146	is a kind of		730.047	signal	that has characteristics by which it can be recognized as a sign to start a process.	is a signal that has characteristics by which it can be recognized as a sign to start a process.				proposed		4-mei-15	4-mei-15	Andries van Renssen	Andries van Renssen	100.535	facts about civil items	
78	910036	English	195444	civil technology		72.065	stop signal	1.074.305	1.146	is a kind of		730.047	signal	that has characteristics by which it can be recognized as a sign to terminate a process.	is a signal that has characteristics by which it can be recognized as a sign to terminate a process.				proposed		4-mei-15	4-mei-15	Andries van Renssen	Andries van Renssen	100.535	facts about civil items	
8282	910036	English	192936	technology		45.116	strip	1.043.729	1.146	is a kind of		730.063	artefact	that is long and relatively narrow and thin.	is a artefact that is long and relatively narrow and thin.				proposed		2-jun-09	2-jun-09	Andries van Renssen	Kees Woestenenk	100.535	facts about civil items	
130	910036	English	195444	civil technology		730.054	section	1.730.067	1.146	is a kind of		730.008	feature	that is a distinct part or portion of another physical object.	is a feature that is a distinct part or portion of another physical object.				proposed		9-jan-06	9-jan-06	Piet van Merendonk	Piet van Meerendonk	100.535	facts about civil items	
130	910036	English	195444	civil technology		10.031	end	1.010.285	1.146	is a kind of		730.008	feature	that is an extremity of an item.	is a feature that is an extremity of an item.				proposed		9-jan-06	9-jan-06	Piet van Merendonk	Piet van Meerendonk	100.535	facts about civil items	
8069	910036	English	195444	civil technology		45.424	single carriageway with one lane	1.047.673	1.146	is a kind of		45.291	single carriageway	of which the carriageway has one lane.	is a single carriageway of which the carriageway has one lane.				accepted		3-dec-14	3-dec-14	Andries van Renssen	Andries van Renssen	100.535	facts about civil items	
8069	910036	English	195444	civil technology		45.426	single carriageway with three lanes	1.047.674	1.146	is a kind of		45.291	single carriageway	of which the carriageway has three lanes.	is a single carriageway of which the carriageway has three lanes.				accepted		3-dec-14	3-dec-14	Andries van Renssen	Andries van Renssen	100.535	facts about civil items	
8069	910036	English	195444	civil technology		45.427	single carriageway with four lanes	1.047.675	1.146	is a kind of		45.291	single carriageway	of which the carriageway has four lanes.	is a single carriageway of which the carriageway has four lanes.				accepted		3-dec-14	3-dec-14	Andries van Renssen	Andries van Renssen	100.535	facts about civil items	
8069	910036	English	195444	civil technology		45.428	dual carriageway with each one lane	1.047.676	1.146	is a kind of		45.282	dual carriageway	of which the carriageways each has one lane.	is a dual carriageway of which the carriageways each has one lane.				accepted		3-dec-14	3-dec-14	Andries van Renssen	Andries van Renssen	100.535	facts about civil items	
151	910036	English	195444	civil technology		553.989	settlement difference	1.561.401	1.146	is a kind of		550.018	distance	between a settlement over a particular length in longitudinal direction after usage during a perticular period and the settlement at the beginning of that period.	is a distance between a settlement over a particular length in longitudinal direction after usage during a perticular period and the settlement at the beginning of that period.				proposed		2-dec-14	2-dec-14	Andries van Renssen	Andries van Renssen	100.535	facts about civil items	
152	910036	English	195444	civil technology		553.990	residual settlement difference over 25 meter in longitudinal direction after 10 years of usage	1.561.402	1.146	is a kind of		553.989	settlement difference	between a settlement over a 25 meter in longitudinal direction after usage during a usage of 10 years and the settlement at the beginning of that usage period.	is a settlement difference between a settlement over a 25 meter in longitudinal direction after usage during a usage of 10 years and the settlement at the beginning of that usage period.				proposed		2-dec-14	2-dec-14	Andries van Renssen	Andries van Renssen	100.535	facts about civil items	
110	910036	English	195444	civil technology		45.449	central reservation	1.050.434	1.146	is a kind of		45.116	strip	between two carriageways of a road.	is a strip between two carriageways of a road.				proposed		2-dec-14	2-dec-14	Andries van Renssen	Andries van Renssen	100.535	facts about civil items	
99	910036	English	192936	technology		730.054	segment	1.730.068	1.981	is a synonym of		730.054	section						accepted		2-dec-14	2-dec-14	Andries van Renssen	Andries van Renssen	100.535	facts about civil items	
